date,open,high,low,close,volume,average,barCount,tradeDate
2024-01-04 10:15:00-05:00,398.12,398.37,397.85,397.96,547148.0,398.099,3194,2024-01-04
2024-01-04 10:20:00-05:00,397.97,398.08,397.59,397.88,367169.0,397.848,2282,2024-01-04
2024-01-04 10:25:00-05:00,397.9,397.94,397.48,397.76,324982.0,397.735,1794,2024-01-04
2024-01-04 10:30:00-05:00,397.75,398.12,397.64,397.9,342907.0,397.887,2016,2024-01-04
2024-01-04 10:35:00-05:00,397.92,398.1,397.75,397.9,241457.0,397.896,1545,2024-01-04
2024-01-04 10:40:00-05:00,397.91,398.18,397.67,398.12,250586.0,397.946,1534,2024-01-04
2024-01-04 10:45:00-05:00,398.11,398.48,398.01,398.43,220688.0,398.215,1368,2024-01-04
2024-01-04 10:50:00-05:00,398.42,398.59,398.16,398.45,383703.0,398.378,1989,2024-01-04
2024-01-04 10:55:00-05:00,398.43,398.53,398.02,398.18,316991.0,398.271,2057,2024-01-04
2024-01-04 11:00:00-05:00,398.19,398.6,398.19,398.51,251176.0,398.421,1420,2024-01-04
2024-01-04 11:05:00-05:00,398.49,398.68,398.41,398.66,274849.0,398.561,1335,2024-01-04
2024-01-04 11:10:00-05:00,398.67,399.37,398.65,399.28,512048.0,399.026,2784,2024-01-04
2024-01-04 11:15:00-05:00,399.28,399.58,399.25,399.33,537778.0,399.417,2778,2024-01-04
2024-01-04 11:20:00-05:00,399.32,399.45,399.27,399.38,246428.0,399.37,1381,2024-01-04
2024-01-04 11:25:00-05:00,399.36,399.59,399.06,399.15,455665.0,399.349,2563,2024-01-04
2024-01-04 11:30:00-05:00,399.16,399.22,398.68,398.94,614098.0,398.88,3567,2024-01-04
2024-01-04 11:35:00-05:00,398.92,399.36,398.89,399.0,371307.0,399.13,2063,2024-01-04
2024-01-04 11:40:00-05:00,399.0,399.07,398.77,398.9,177769.0,398.924,1004,2024-01-04
2024-01-04 11:45:00-05:00,398.9,399.01,398.6,398.68,289255.0,398.758,1888,2024-01-04
2024-01-04 11:50:00-05:00,398.69,398.74,397.94,398.21,504877.0,398.237,3016,2024-01-04
2024-01-04 11:55:00-05:00,398.21,398.35,398.08,398.15,223974.0,398.208,1307,2024-01-04
2024-01-04 12:00:00-05:00,398.16,398.28,397.72,398.03,385716.0,398.04,2141,2024-01-04
2024-01-04 12:05:00-05:00,398.01,398.17,397.81,397.9,173928.0,397.949,1164,2024-01-04
2024-01-04 12:10:00-05:00,397.89,398.27,397.81,398.06,192693.0,398.083,1259,2024-01-04
2024-01-04 12:15:00-05:00,398.06,398.06,397.64,397.88,227982.0,397.848,1424,2024-01-04
2024-01-04 12:20:00-05:00,397.89,398.14,397.86,397.9,150319.0,397.996,990,2024-01-04
2024-01-04 12:25:00-05:00,397.93,398.21,397.93,398.17,172642.0,398.077,1120,2024-01-04
2024-01-04 12:30:00-05:00,398.19,398.21,397.74,397.89,177165.0,397.943,1257,2024-01-04
2024-01-04 12:35:00-05:00,397.85,398.17,397.67,398.11,189225.0,397.927,1221,2024-01-04
2024-01-04 12:40:00-05:00,398.07,398.1,397.54,397.64,209685.0,397.861,1226,2024-01-04
2024-01-04 12:45:00-05:00,397.65,397.66,397.17,397.43,464272.0,397.359,2902,2024-01-04
2024-01-04 12:50:00-05:00,397.44,397.77,397.26,397.75,240661.0,397.541,1354,2024-01-04
2024-01-04 12:55:00-05:00,397.74,397.78,397.46,397.76,180958.0,397.61,1062,2024-01-04
2024-01-04 13:00:00-05:00,397.75,397.87,397.61,397.86,156343.0,397.746,952,2024-01-04
2024-01-04 13:05:00-05:00,397.86,397.91,397.64,397.79,193569.0,397.789,1378,2024-01-04
2024-01-04 13:10:00-05:00,397.8,397.86,397.45,397.79,152302.0,397.669,1047,2024-01-04
2024-01-04 13:15:00-05:00,397.74,397.91,397.51,397.7,124995.0,397.733,761,2024-01-04
2024-01-04 13:20:00-05:00,397.67,397.95,397.65,397.82,101049.0,397.845,618,2024-01-04
2024-01-04 13:25:00-05:00,397.81,398.06,397.81,398.0,123693.0,397.971,699,2024-01-04
2024-01-04 13:30:00-05:00,398.01,398.17,397.99,398.08,129558.0,398.105,785,2024-01-04
2024-01-04 13:35:00-05:00,398.11,398.31,397.94,398.03,215859.0,398.103,1115,2024-01-04
2024-01-04 13:40:00-05:00,398.02,398.21,397.93,398.16,111955.0,398.103,599,2024-01-04
2024-01-04 13:45:00-05:00,398.17,398.23,398.01,398.09,117389.0,398.124,654,2024-01-04
2024-01-04 13:50:00-05:00,398.11,398.21,397.8,397.82,187334.0,397.988,943,2024-01-04
2024-01-04 13:55:00-05:00,397.84,398.03,397.65,397.74,238087.0,397.832,1270,2024-01-04
2024-01-04 14:00:00-05:00,397.75,397.98,397.52,397.54,201610.0,397.721,1195,2024-01-04
2024-01-04 14:05:00-05:00,397.55,397.72,397.43,397.46,192782.0,397.558,1202,2024-01-04
2024-01-04 14:10:00-05:00,397.46,397.62,397.13,397.54,304451.0,397.361,1879,2024-01-04
2024-01-04 14:15:00-05:00,397.54,397.72,397.32,397.33,183811.0,397.596,1156,2024-01-04
